"filename", "language", "Lua", "JSON", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\crashed_ship.lua", "Lua", 36, 0, 1, 9, 46
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\enemy_unit.lua", "Lua", 38, 0, 3, 8, 49
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\giant_enemy.lua", "Lua", 18, 0, 0, 5, 23
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_a.lua", "Lua", 301, 0, 55, 58, 414
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_b.lua", "Lua", 411, 0, 65, 64, 540
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_building.lua", "Lua", 84, 0, 10, 17, 111
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_building_blight.lua", "Lua", 27, 0, 3, 9, 39
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_c.lua", "Lua", 517, 0, 90, 113, 720
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\mining_base.lua", "Lua", 255, 0, 36, 45, 336
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\roaming_bot.lua", "Lua", 20, 0, 1, 6, 27
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\robot_base.lua", "Lua", 214, 0, 28, 36, 278
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\ruined_components.lua", "Lua", 109, 0, 4, 21, 134
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\spawn_base_alien.lua", "Lua", 432, 0, 104, 10, 546
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\spawn_base_human.lua", "Lua", 505, 0, 139, 10, 654
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\world_a.lua", "Lua", 133, 0, 20, 27, 180
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\frames.lua", "Lua", 2937, 0, 156, 227, 3320
